id,titulo,rubro,Con pantalla táctil,Conexión del monitor de la computadora,Resolución de pantalla,Tamaño de la pantalla,Tipo de pantalla,Tipo de resolución,Con micrófono,Con visión nocturna,Formato de venta,Funciones,Lugares de montaje,Color,Tipo de corrector,Tipo de envase,Con compartimiento para notebook,Con puerto USB,Con ruedas,Tipo de mochila,Capacidad,Incluye adaptador SD,Incluye adaptador USB,Resolución máxima de video,Velocidad de lectura,Forma del glitter,Peso neto,Tipo,Usos recomendados,Graduación,Unidad por envase,Tamaño de papel,Tipo de papel,Con bluetooth,Con WiFi,Funciones de la impresora,Tipo de impresión,Tipo de impresora,Resolución de imagen de la cámara,Capacidad de hojas,Potencia,Tipo de trituradora,Voltaje,Color de la tinta,Con grip,Grosor del trazo,Tipo de lapicera,Tipo de trazo,Con goma de borrar,Tipo de Lápiz,Forma de la lentejuela,Duración máxima de la batería,Es inalámbrico,Es resistente al agua,Formato del auricular,Tipo de conectores,A prueba de agua,Autonomía máxima de la batería,Con función Karaoke,Con luces LED,Con Radio,Es portátil,Incluye batería recargable,Potencia de salida (RMS),Tipo de parlante,Díametro,Con anillos,Con tapa separadas,Diseño,Tamaño de las hojas,Tipo de carpeta,Con lengueta,Tamaño del separador,Billetes por minutos,Capacidad de bandeja,Con detector de billetes falsos,Tipo detección,Con cartel,Con pie,Tamaño,Tipo de agenda por vista,Tipo de encuadernación,Formato de la tiza,Capacidad de almacenamiento,Material,Tipo de Marcador,Con compartimiento para marcadores,Es magnético,Material del mango,Superficies Recomendadas,Con GPS,Incluye cargador,Sistema operativo,Ancho x altura,Material de la superficie,Material del armazón
90,Artículo 90 de Lapiceras fuente escolar,Lapiceras fuente escolar,,,,,,,,,Valor 78,,,,,,,,,,,,,,,,,,,,Valor 91,,,,,,,,,,,,,Valor 11,No,Valor 68,Valor 81,Valor 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Artículo 91 de Palitos para maqueteria,Palitos para maqueteria,,,,,,,,,Valor 13,,,,,,,,,,,,,,,,,,,,Valor 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Artículo 92 de Lapiceras fuente escolar,Lapiceras fuente escolar,,,,,,,,,Valor 13,,,,,,,,,,,,,,,,,,,,Valor 100,,,,,,,,,,,,,Valor 93,No,Valor 94,Valor 27,Valor 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Artículo 93 de Contadora de billetes,Contadora de billetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,No,Valor 25,No,Valor 98,,,,,,,,,,,,,,,,,,,
94,Artículo 94 de Lapices de grafito,Lapices de grafito,,,,,,,,,Valor 19,,,,,,,,,,,,,,,,,,,Valor 6,Valor 23,,,,,,,,,,,,,,,,,,Sí,Valor 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Artículo 95 de Agendas,Agendas,,,,,,,,,Valor 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 21,Valor 61,Valor 7,,,,,,,,,,,,,,
96,Artículo 96 de Lentejuelas,Lentejuelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Artículo 97 de Borradores,Borradores,,,,,,,,,Valor 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Sí,Valor 74,No,,,,,,
98,Artículo 98 de Papel glace,Papel glace,,,,,,,,,Valor 88,,,,,,,,,,,,,,,,,,Valor 95,,,Valor 58,Valor 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Artículo 99 de Tizas,Tizas,,,,,,,,,Valor 65,,,,,,,,,,,,,,,,,,Valor 83,,Valor 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 5,,,,,,,,,,,,,
100,Artículo 100 de Agendas,Agendas,,,,,,,,,Valor 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 59,Valor 88,Valor 90,,,,,,,,,,,,,,
101,Artículo 101 de Smartwatch,Smartwatch,,,,,Valor 31,,,,,Valor 24,,,,,,,,,,,,,,,,,,,,,,Sí,No,,,,,,,,,,,,,,,,,Valor 100,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Valor 36,Valor 42,,,
102,Artículo 102 de Carpetas con anillos,Carpetas con anillos,,,,,,,,,Valor 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,Valor 31,Valor 49,Valor 93,,,,,,,,,,,,,,,,,,,,,,,,,
103,Artículo 103 de Borradores,Borradores,,,,,,,,,Valor 87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Sí,Valor 5,No,,,,,,
104,Artículo 104 de Auriculares,Auriculares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,Valor 87,No,Sí,Valor 20,Valor 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Artículo 105 de Brillantinas,Brillantinas,,,,,,,,,Valor 11,,,,,,,,,,,,,,,,,,Valor 82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Artículo 106 de Borradores,Borradores,,,,,,,,,Valor 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Sí,Valor 11,No,,,,,,
107,Artículo 107 de Pizarras,Pizarras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 76,Valor 94,Valor 63
108,Artículo 108 de Palitos para maqueteria,Palitos para maqueteria,,,,,,,,,Valor 14,,,,,,,,,,,,,,,,,,,,Valor 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Artículo 109 de Goma eva,Goma eva,,,,,,,,,Valor 22,,,,,,,,,,,,,,,,,Valor 8,Valor 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Artículo 110 de Goma eva,Goma eva,,,,,,,,,Valor 21,,,,,,,,,,,,,,,,,Valor 25,Valor 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Artículo 111 de Aros para carpetas,Aros para carpetas,,,,,,,,,Valor 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Artículo 112 de Goma eva,Goma eva,,,,,,,,,Valor 97,,,,,,,,,,,,,,,,,Valor 76,Valor 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Artículo 113 de Pendrive,Pendrive,,,,,,,,,,,,Valor 5,,,,,,,,,,,Valor 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 96,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 11,Valor 43,,,,,,,,,,,
114,Artículo 114 de Camara de seguridad,Camara de seguridad,,,,,,Valor 22,Sí,Sí,Valor 56,Valor 63,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Artículo 115 de Pizarras,Pizarras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 44,Valor 62,Valor 16
116,Artículo 116 de Contadora de billetes,Contadora de billetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,Sí,Valor 84,Sí,Valor 55,,,,,,,,,,,,,,,,,,,
117,Artículo 117 de Tizas,Tizas,,,,,,,,,Valor 69,,,,,,,,,,,,,,,,,,Valor 65,,Valor 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 93,,,,,,,,,,,,,
118,Artículo 118 de Correctores,Correctores,,,,,,,,,Valor 100,,,,Valor 20,Valor 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Artículo 119 de Pendrive,Pendrive,,,,,,,,,,,,Valor 67,,,,,,,,,,,Valor 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 18,Valor 14,,,,,,,,,,,
120,Artículo 120 de Aros para carpetas,Aros para carpetas,,,,,,,,,Valor 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Artículo 121 de Parlantes,Parlantes,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,,,,,,,,,,,,,,,,,,No,,,,Valor 51,Valor 30,No,No,Sí,Sí,Valor 47,Valor 79,Valor 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Artículo 122 de Impresoras,Impresoras,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,Valor 40,Valor 84,Sí,No,No,Valor 15,Valor 85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Artículo 123 de Lapices de grafito,Lapices de grafito,,,,,,,,,Valor 35,,,,,,,,,,,,,,,,,,,Valor 15,Valor 9,,,,,,,,,,,,,,,,,,No,Valor 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Artículo 124 de Agendas,Agendas,,,,,,,,,Valor 93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 75,Valor 13,Valor 82,,,,,,,,,,,,,,
125,Artículo 125 de Mochilas,Mochilas,,,,,,,,,,,,,,,No,No,No,Valor 89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Artículo 126 de Pizarras,Pizarras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 69,Valor 71,Valor 19
127,Artículo 127 de Papel glace,Papel glace,,,,,,,,,Valor 86,,,,,,,,,,,,,,,,,,Valor 41,,,Valor 1,Valor 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Artículo 128 de Goma eva,Goma eva,,,,,,,,,Valor 1,,,,,,,,,,,,,,,,,Valor 8,Valor 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Artículo 129 de Minas,Minas,,,,,,,,,Valor 10,,,,,,,,,,,,,,,,,,,Valor 8,Valor 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Artículo 130 de Palitos para souvenir,Palitos para souvenir,,,,,,,,,Valor 24,,,,,,,,,,,,,,,,,,,,Valor 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Artículo 131 de Pizarras,Pizarras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 89,Valor 88,Valor 42
132,Artículo 132 de Lapiceras fuente escolar,Lapiceras fuente escolar,,,,,,,,,Valor 62,,,,,,,,,,,,,,,,,,,,Valor 97,,,,,,,,,,,,,Valor 63,Sí,Valor 33,Valor 48,Valor 86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Artículo 133 de Monitores,Monitores,Sí,Valor 58,Valor 34,Valor 28,Valor 11,Valor 52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Artículo 134 de Pizarras,Pizarras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 75,Valor 48,Valor 83
135,Artículo 135 de Boligrafos borrables,Boligrafos borrables,,,,,,,,,Valor 95,,,,,,,,,,,,,,,,,,,,Valor 58,,,,,,,,,,,,,Valor 88,No,Valor 94,Valor 56,Valor 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Artículo 136 de Tizas,Tizas,,,,,,,,,Valor 87,,,,,,,,,,,,,,,,,,Valor 38,,Valor 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 86,,,,,,,,,,,,,
137,Artículo 137 de Palitos para souvenir,Palitos para souvenir,,,,,,,,,Valor 52,,,,,,,,,,,,,,,,,,,,Valor 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Artículo 138 de Separadores,Separadores,,,,,,,,,Valor 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Valor 42,,,,,,,,,,,,,,,,,,,,,,,
139,Artículo 139 de Agendas,Agendas,,,,,,,,,Valor 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 46,Valor 75,Valor 36,,,,,,,,,,,,,,
140,Artículo 140 de Separadores,Separadores,,,,,,,,,Valor 89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Valor 57,,,,,,,,,,,,,,,,,,,,,,,
141,Artículo 141 de Carpetas con anillos,Carpetas con anillos,,,,,,,,,Valor 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,Valor 39,Valor 7,Valor 21,,,,,,,,,,,,,,,,,,,,,,,,,
142,Artículo 142 de Pizarras,Pizarras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 66,Valor 86,Valor 15
143,Artículo 143 de Minas,Minas,,,,,,,,,Valor 31,,,,,,,,,,,,,,,,,,,Valor 16,Valor 52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Artículo 144 de Lentejuelas,Lentejuelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Artículo 145 de Microfibras,Microfibras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 83,,,,,,,,,,
146,Artículo 146 de Correctores,Correctores,,,,,,,,,Valor 51,,,,Valor 93,Valor 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Artículo 147 de Contadora de billetes,Contadora de billetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Sí,Valor 80,Sí,Valor 86,,,,,,,,,,,,,,,,,,,
148,Artículo 148 de Aros para carpetas,Aros para carpetas,,,,,,,,,Valor 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Artículo 149 de Microfibras,Microfibras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 59,,,,,,,,,,
150,Artículo 150 de Pendrive,Pendrive,,,,,,,,,,,,Valor 6,,,,,,,,,,,Valor 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 33,Valor 45,,,,,,,,,,,
151,Artículo 151 de Carpetas con anillos,Carpetas con anillos,,,,,,,,,Valor 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Sí,Valor 42,Valor 91,Valor 53,,,,,,,,,,,,,,,,,,,,,,,,,
152,Artículo 152 de Maquina expendedora de numeros,Maquina expendedora de numeros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Sí,,,,,,,,,,,,,,,,,
153,Artículo 153 de Minas,Minas,,,,,,,,,Valor 19,,,,,,,,,,,,,,,,,,,Valor 100,Valor 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Artículo 154 de Mochilas,Mochilas,,,,,,,,,,,,,,,Sí,No,No,Valor 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Artículo 155 de Palitos para maqueteria,Palitos para maqueteria,,,,,,,,,Valor 90,,,,,,,,,,,,,,,,,,,,Valor 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Artículo 156 de Smartwatch,Smartwatch,,,,,Valor 88,,,,,Valor 56,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,,,,,,,,,,,,,,,,,Valor 21,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Valor 33,Valor 43,,,
157,Artículo 157 de Pendrive,Pendrive,,,,,,,,,,,,Valor 99,,,,,,,,,,,Valor 42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 30,Valor 78,,,,,,,,,,,
158,Artículo 158 de Pizarras,Pizarras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 3,Valor 71,Valor 65
159,Artículo 159 de Agendas,Agendas,,,,,,,,,Valor 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 69,Valor 88,Valor 63,,,,,,,,,,,,,,
160,Artículo 160 de Lentejuelas,Lentejuelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Artículo 161 de Lentejuelas,Lentejuelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Artículo 162 de Auriculares,Auriculares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,Valor 61,Sí,No,Valor 31,Valor 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Artículo 163 de Lapiceras fuente escolar,Lapiceras fuente escolar,,,,,,,,,Valor 83,,,,,,,,,,,,,,,,,,,,Valor 65,,,,,,,,,,,,,Valor 88,Sí,Valor 24,Valor 24,Valor 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Artículo 164 de Agendas,Agendas,,,,,,,,,Valor 83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 92,Valor 57,Valor 58,,,,,,,,,,,,,,
165,Artículo 165 de Parlantes,Parlantes,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,Sí,,,,Valor 96,Valor 34,No,Sí,Sí,Sí,Valor 90,Valor 95,Valor 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Artículo 166 de Lentejuelas,Lentejuelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Artículo 167 de Lapiceras fuente escolar,Lapiceras fuente escolar,,,,,,,,,Valor 20,,,,,,,,,,,,,,,,,,,,Valor 8,,,,,,,,,,,,,Valor 20,No,Valor 29,Valor 90,Valor 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Artículo 168 de Borradores,Borradores,,,,,,,,,Valor 78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,Valor 95,No,,,,,,
169,Artículo 169 de Palitos para maqueteria,Palitos para maqueteria,,,,,,,,,Valor 72,,,,,,,,,,,,,,,,,,,,Valor 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Artículo 170 de Minas,Minas,,,,,,,,,Valor 6,,,,,,,,,,,,,,,,,,,Valor 52,Valor 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Artículo 171 de Minas,Minas,,,,,,,,,Valor 16,,,,,,,,,,,,,,,,,,,Valor 71,Valor 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Artículo 172 de Brillantinas,Brillantinas,,,,,,,,,Valor 94,,,,,,,,,,,,,,,,,,Valor 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Artículo 173 de Carpetas con anillos,Carpetas con anillos,,,,,,,,,Valor 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,Valor 32,Valor 13,Valor 72,,,,,,,,,,,,,,,,,,,,,,,,,
174,Artículo 174 de Minas,Minas,,,,,,,,,Valor 65,,,,,,,,,,,,,,,,,,,Valor 17,Valor 85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Artículo 175 de Lapices de grafito,Lapices de grafito,,,,,,,,,Valor 23,,,,,,,,,,,,,,,,,,,Valor 63,Valor 61,,,,,,,,,,,,,,,,,,No,Valor 93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Artículo 176 de Boligrafos borrables,Boligrafos borrables,,,,,,,,,Valor 100,,,,,,,,,,,,,,,,,,,,Valor 99,,,,,,,,,,,,,Valor 28,Sí,Valor 78,Valor 36,Valor 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Artículo 177 de Auriculares,Auriculares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,Valor 70,No,No,Valor 67,Valor 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Artículo 178 de Impresoras,Impresoras,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Valor 45,Valor 45,Sí,Sí,Sí,Valor 98,Valor 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Artículo 179 de Lentejuelas,Lentejuelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Artículo 180 de Auriculares,Auriculares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,Valor 99,No,Sí,Valor 75,Valor 95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Artículo 181 de Boligrafos borrables,Boligrafos borrables,,,,,,,,,Valor 26,,,,,,,,,,,,,,,,,,,,Valor 36,,,,,,,,,,,,,Valor 83,Sí,Valor 88,Valor 30,Valor 95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Artículo 182 de Parlantes,Parlantes,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,Sí,,,,Valor 45,Valor 30,Sí,No,Sí,Sí,Valor 12,Valor 67,Valor 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Artículo 183 de Monitores,Monitores,No,Valor 36,Valor 19,Valor 84,Valor 5,Valor 46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Artículo 184 de Correctores,Correctores,,,,,,,,,Valor 67,,,,Valor 4,Valor 46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Artículo 185 de Camara web,Camara web,,,,,,,Sí,,Valor 86,Valor 57,,,,,,,,,,,,Valor 62,,,,,,,,,,,,,,,Valor 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
